DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4270.5,2.64436,76.17073254,0,0.0038,1,0.878336,0.116272,0.005392,0,0,0,130.0905496
4270.6,2.64512,76.40628881,0.004608,0.005048,1,0.88138,0.109796,0.004264,0,0,0.004608,131.9953237
4270.7,2.63336,76.20670614,0.013392,0.007984,0.789520001,0.852392,0.134268,0,0,0.003696,0.009696,133.1972622
4270.8,2.613855685,75.68549899,0.017693225,0.009796613,0.562031369,0.829235499,0.153071276,0,0,0.007748306,0.009944919,133.6529149
4270.9,2.595678102,74.67887713,0.019266754,0.010681002,0.554106598,0.831299207,0.149482851,0,0,0.008581002,0.010685752,133.1587293
4271,2.59339,73.20936411,0.020602,0.011451,0.5158,0.841083,0.138366,0,0,0.009939,0.010614,131.9313209
4271.1,2.60831,71.39300381,0.018883,0.010518,0.504506,0.810739,0.170378,0,0,0.009373,0.009459,130.1205894
4271.2,2.618,69.38931783,0.014716645,0.008480056,0.589215919,0.691409401,0.293825261,0,0,0.006252271,0.008513068,127.6531946
4271.3,2.618,67.45358164,0.012340958,0.007396383,0.71459992,0.544291671,0.443315562,0,0,0.003525316,0.008819259,124.6676644
4271.4,2.62136,65.83304987,0.014184,0.008172,0.805384,0.449484,0.53638,0,0,0.002704,0.011428,121.2387997
4271.5,2.62308,64.78656588,0.022716,0.013796,0.80892,0.386048,0.591288,0,0,0.004568,0.018148,117.5790632
4271.6,2.6138,64.24837808,0.027892,0.017084,0.88482,0.322788,0.64932,0,0,0.003484,0.024408,114.0568271
4271.7,2.59448,64.10361575,0.032412,0.023252,0.962848,0.26448,0.703108,0,0,0.001488,0.030924,111.2050168
4271.8,2.580067944,64.23464311,0.051782145,0.074950137,0.857634616,0.202918854,0.744477878,0.000821124,0,0.008219948,0.043562196,109.3666733
4271.9,2.580440376,64.47880469,0.059424018,0.095415322,0.787075042,0.179918405,0.748268731,0.012388846,0,0.012675042,0.046748976,108.2940787
4272,2.59035,64.76227388,0.048318,0.053173,0.792517,0.21443,0.714485,0.022767,0,0.010081,0.038237,108.1314428
4272.1,2.60829,65.09583961,0.038968,0.031261,0.806552,0.250254,0.697649,0.01308,0,0.007569,0.031399,108.760157
4272.2,2.616565096,65.53877096,0.036912244,0.027645319,0.769249076,0.296485768,0.654323316,0.01222737,0,0.008596621,0.028315623,109.7590539
4272.3,2.614,66.30366169,0.035893764,0.026329827,0.72797641,0.374555868,0.569707093,0.019795079,0,0.00978426,0.026109504,111.2281281
4272.4,2.61448,67.5189409,0.027776,0.017656,0.720384,0.489796,0.472756,0.00962,0,0.007648,0.02008,113.1306684
4272.5,2.61644,69.06568661,0.021132,0.01182,0.6764,0.60128,0.377588,0,0,0.006784,0.014296,115.2581897
4272.6,2.61848,70.89168858,0.017708,0.009908,0.649088,0.67202,0.310272,0,0,0.00624,0.011468,117.7576731
4272.7,2.61948,72.7369134,0.014564,0.008256,0.622772,0.758752,0.226684,0,0,0.005488,0.009076,120.5973933
4272.8,2.60656,74.35039527,0.017704,0.01002,0.57458,0.819476,0.16282,0,0,0.007576,0.010128,123.5632197
4272.9,2.574613245,75.2769695,0.021693186,0.012196593,0.545836086,0.814948297,0.163406814,0,0,0.009838076,0.011806814,126.3501135
4273,2.554047905,75.3497307,0.027414669,0.017326645,0.517422461,0.79630869,0.176327839,0,0,0.013323352,0.014088921,128.526515
4273.1,2.56523,74.86035972,0.035013,0.024952,0.498658,0.766459,0.198528,0,0,0.01758,0.017484,129.888421
4273.2,2.594584932,73.8643128,0.027500338,0.018828287,0.534029192,0.776937064,0.195562598,0,0,0.013193977,0.014306361,129.915985
4273.3,2.622086463,72.52747496,0.009164648,0.006907879,0.297527643,0.817854179,0.168642992,0.004338181,0,0.003884849,0.005279799,128.6943339
4273.4,2.64024,70.85280316,0.0001,0.0038,0,0.799884,0.191688,0.008328,0,0,0.0001,126.6733654
4273.5,2.63932,69.27795782,0.0001,0.0038,0,0.678876,0.31472,0.006304,0,0,0.0001,123.9703476
4273.6,2.59644,68.18239354,0.009604,0.007592,0.377039999,0.51944,0.429336,0.04162,0,0.002064,0.00754,121.0169392
4273.7,2.52732,67.43359528,0.047596,0.129492,0.690604,0.352176,0.547148,0.05308,0,0.017596,0.03,118.1133819
4273.8,2.49828,67.20484934,0.078752,0.274044,0.59044,0.241,0.65492,0.025328,0,0.03224,0.046512,115.515542
4273.9,2.501102499,67.40769679,0.075750332,0.23927915,0.597501376,0.216325039,0.680631921,0.027292708,0,0.030520041,0.045230291,113.325176
4274,2.48970447,67.73474822,0.076616493,0.2548151,0.588336774,0.186773202,0.717978688,0.018631617,0,0.031669415,0.044947078,111.5479838
4274.1,2.4712,68.07851579,0.089209,0.513961999,0.558467,0.142891,0.762341,0.005559,0,0.03951,0.049699,110.3466065
4274.2,2.455642147,68.37094166,0.096546123,0.710152684,0.541179722,0.119718091,0.783735785,0,0,0.044294831,0.052251292,109.647357
4274.3,2.463498008,68.50661964,0.085323108,0.46821514,0.5648749,0.141801992,0.763860159,0.009062948,0,0.037413546,0.047909562,109.3985588
4274.4,2.48424,68.42190311,0.069404,0.169216,0.607056,0.164092,0.74598,0.020576,0,0.027304,0.0421,109.5630203
4274.5,2.5054,68.18269276,0.064728,0.129044,0.662728,0.163092,0.747424,0.024756,0,0.021864,0.042864,109.9190845
4274.6,2.53108,67.84915433,0.063808,0.122752,0.70778,0.163352,0.743096,0.029744,0,0.01866,0.045148,110.2809213
4274.7,2.5348,67.51595897,0.068592,0.164888,0.716228,0.13152,0.779628,0.02026,0,0.019456,0.049136,110.4597878
4274.8,2.51644,67.26312913,0.076256,0.241136,0.725552,0.092836,0.825156,0.0058,0,0.020888,0.055368,110.3994614
4274.9,2.508380078,67.10525293,0.079086295,0.278494419,0.726985659,0.085830837,0.831069163,0.004065419,0,0.021586295,0.0575,110.0873304
4275,2.508584553,67.03582671,0.083110615,0.352325845,0.70927445,0.088413031,0.826681662,0.001843485,0,0.024244436,0.058866179,109.6042338
4275.1,2.50157,67.01152678,0.085528,0.39439,0.662579,0.097588,0.816886,0,0,0.028805,0.056723,109.11936
4275.2,2.49555,67.06145079,0.079592,0.294818,0.635743,0.114031,0.806326,0,0,0.029042,0.05055,108.75736
