DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4364.6,2.618974729,61.66424946,0.01494986,0.0085,1,0.745671199,0.239328801,0,0,0,0.01494986,109.7167716
4364.7,2.6345,61.31849764,0.01375,0.00795,1,0.7198,0.2665,0,0,0,0.01375,109.0707662
4364.8,2.6415,61.00469817,0.01,0.00655,1,0.6732,0.3103,0.00655,0,0,0.01,108.3128371
4364.9,2.639517871,60.76112709,0.007202145,0.005600715,1,0.621816203,0.359172359,0.011809293,0,0,0.007202145,107.3909383
4365,2.636017152,60.58292045,0.005524013,0.005106861,1,0.582772716,0.405134663,0.006519466,0,0,0.005524013,106.3388248
4365.1,2.632038887,60.47368727,0.005580556,0.005144167,1,0.539653874,0.453499366,0.001215555,0,0,0.005580556,105.1850826
4365.2,2.626507196,60.43409884,0.014129708,0.008740933,1,0.465932976,0.51988746,0,0,0,0.014129708,104.0681231
4365.3,2.62,60.47774094,0.0232,0.0133,1,0.4113,0.5655,0,0,0,0.0232,103.1147575
4365.4,2.6155,60.73741443,0.0262,0.01555,1,0.37455,0.59925,0,0,0,0.0262,102.5024037
4365.5,2.6155,61.25027427,0.02165,0.0127,1,0.3517,0.6224,0.00425,0,0,0.02165,102.2573371
4365.6,2.62,61.96113779,0.0169,0.0094,1,0.3609,0.60655,0.0157,0,0,0.0169,102.3019535
4365.7,2.625,62.70760564,0.02555,0.0163,0.9997,0.3356,0.6213,0.01755,0,0,0.02555,102.6028338
4365.8,2.6145,63.31442546,0.04175,0.0393,0.889700001,0.28175,0.6685,0.00795,0,0.0055,0.03625,103.0359462
4365.9,2.585,63.75286142,0.0496,0.0543,0.77795,0.26565,0.6781,0.0066,0,0.011,0.0386,103.5620102
4366,2.567496475,64.02195116,0.043092652,0.040338477,0.839647393,0.292968871,0.647388532,0.016549945,0,0.007276437,0.035816215,104.1868436
4366.1,2.579303919,64.20613062,0.035525576,0.025635806,0.935312055,0.311798295,0.627354263,0.025321867,0,0.002320461,0.033205115,104.8610199
