DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
1636.2,2.388191082,104.4904529,0.113290873,0,0,0.567768676,0,0,0,0,0
1636.3,2.387292208,102.9854406,0.111526978,0,0,0.573251197,0,0,0,0,0
1636.4,2.391131742,101.6230697,0.113028192,0,0,0.578134193,0,0,0,0,0
1636.5,2.396657496,100.7416868,0.113207332,0,0,0.580375206,0,0,0,0,0
1636.6,2.402538603,100.5155997,0.110198493,0,0,0.58024647,0,0,0,0,0
1636.7,2.40644414,100.59196,0.108205819,0,0,0.581483798,0,0,0,0,0
1636.8,2.408200337,101.4713207,0.108590176,0,0,0.579149201,0,0,0,0,0
1636.9,2.407367971,102.789109,0.11207548,0,0,0.570177715,0,0,0,0,0
1637,2.399691732,103.8667787,0.118801842,0,0,0.552873404,0,0,0,0,0
1637.1,2.393201034,103.9722433,0.1245129,0,0,0.535709533,0,0,0,0,0
1637.2,2.392795141,102.597856,0.126737574,0,0,0.523033792,0,0,0,0,0
1637.3,2.398163344,101.2780777,0.1242532,0,0,0.533701146,0,0,0,0,0
1637.4,2.406919103,100.5755135,0.118596537,0,0,0.557075534,0,0,0,0,0
1637.5,2.419565574,100.6790958,0.109054458,0,0,0.591090827,0,0,0,0,0
1637.6,2.428226992,101.6445013,0.103882201,0,0,0.605879662,0,0,0,0,0
1637.7,2.433580438,102.712109,0.102251642,0,0,0.603957116,0,0,0,0,0
1637.8,2.43475797,102.8483672,0.104996497,0,0,0.578623879,0,0,0,0,0
1637.9,2.425820931,102.4654836,0.114658486,0,0,0.548573516,0,0,0,0,0
1638,2.410076377,102.2160515,0.127270866,0,0,0.515767552,0,0,0,0,0
1638.1,2.385882412,102.8114774,0.140025803,0,0,0.476248375,0,0,0,0,0
1638.2,2.362419883,103.549359,0.148838966,0,0,0.465037924,0,0,0,0,0
1638.3,2.342013426,104.1920156,0.154428207,0,0,0.465167,0,0,0,0,0
1638.4,2.331903701,104.5004655,0.154554069,0,0,0.447785072,0,0,0,0,0
1638.5,2.335388882,104.1447583,0.149975797,0,0,0.453320851,0,0,0,0,0
1638.6,2.347866244,102.6844735,0.142584105,0,0,0.472827416,0,0,0,0,0
1638.7,2.368467351,101.2773239,0.133666146,0,0,0.486266725,0,0,0,0,0
1638.8,2.393409436,99.90838484,0.122407017,0,0,0.517894193,0,0,0,0,0
1638.9,2.421122239,99.03375355,0.109467747,0,0,0.559396346,0,0,0,0,0
1639,2.44945125,98.75987942,0.095538889,0,0,0.564930093,0,0,0,0,0
1639.1,2.473819482,98.76922307,0.085479378,0,0,0.559748826,0,0,0,0,0
1639.2,2.494257092,98.21886032,0.078855546,0,0,0.546741132,0,0,0,0,0
1639.3,2.491676456,98.10154435,0.080085226,0,0,0.524508656,0,0,0,0,0
1639.4,2.480757406,98.37305242,0.087550542,0,0,0.49973003,0,0,0,0,0
1639.5,2.462405085,99.16064783,0.100823478,0,0,0.472827392,0,0,0,0,0
1639.6,2.438226404,100.8123885,0.106265649,0,0,0.478943676,0,0,0,0,0
1639.7,2.414977936,102.4960529,0.113069036,0,0,0.485660137,0,0,0,0,0
1639.8,2.393194071,103.6075258,0.121574064,0,0,0.492229983,0,0,0,0,0
1639.9,2.375854651,104.1992123,0.126414101,0,0,0.496247004,0,0,0,0,0
1640,2.368592937,104.1808458,0.129737951,0,0,0.499169802,0,0,0,0,0
1640.1,2.375025402,103.30968,0.130825091,0,0,0.50111185,0,0,0,0,0
1640.2,2.397452767,100.9782965,0.115594627,0,0,0.511776622,0,0,0,0,0
1640.3,2.424497377,99.08716,0.100920504,0,0,0.514110771,0,0,0,0,0
1640.4,2.454381784,98.07330202,0.090869593,0,0,0.501346427,0,0,0,0,0
1640.5,2.458504855,97.9542371,0.09144049,0,0,0.48725922,0,0,0,0,0
1640.6,2.447987202,98.25225323,0.098887058,0,0,0.468273665,0,0,0,0,0
1640.7,2.418155307,97.09437718,0.115738356,0,0,0.441829599,0,0,0,0,0
1640.8,2.378607677,97.27694604,0.134633569,0,0,0.431951457,0,0,0,0,0
1640.9,2.344979172,98.08296226,0.148180013,0,0,0.43131661,0,0,0,0,0
1641,2.332608805,98.8081071,0.147698158,0,0,0.443373933,0,0,0,0,0
1641.1,2.34540961,98.79455226,0.13709834,0,0,0.468519644,0,0,0,0,0
1641.2,2.370692913,97.90708,0.122746733,0,0,0.489768833,0,0,0,0,0
1641.3,2.405324659,97.20440858,0.107912317,0,0,0.48964524,0,0,0,0,0
1641.4,2.424264974,96.82947689,0.100535347,0,0,0.481317454,0,0,0,0,0
1641.5,2.432286735,96.8244471,0.099297857,0,0,0.468355875,0,0,0,0,0
1641.6,2.42565484,97.07181226,0.107163237,0,0,0.454840153,0,0,0,0,0
1641.7,2.413921236,96.9331771,0.111766936,0,0,0.468178229,0,0,0,0,0
1641.8,2.402478821,96.35023931,0.113960757,0,0,0.490300634,0,0,0,0,0
1641.9,2.401671772,95.69827865,0.112817805,0,0,0.500197246,0,0,0,0,0
1642,2.408945535,95.6158671,0.107672192,0,0,0.524060166,0,0,0,0,0
1642.1,2.423014339,96.58762323,0.099743478,0,0,0.550229088,0,0,0,0,0
1642.2,2.443625577,96.90753774,0.09078005,0,0,0.552410147,0,0,0,0,0
1642.3,2.456530686,95.8545493,0.085405964,0,0,0.548586155,0,0,0,0,0
1642.4,2.458235951,94.3918004,0.086227148,0,0,0.534810487,0,0,0,0,0
1642.5,2.433167689,93.96811613,0.103375384,0,0,0.498498203,0,0,0,0,0
1642.6,2.400279334,96.71983968,0.12275498,0,0,0.477119717,0,0,0,0,0
1642.7,2.36303352,103.7437708,0.142009784,0,0,0.471628832,0,0,0,0,0
1642.8,2.33481266,108.4800839,0.152434729,0,0,0.483901535,0,0,0,0,0
1642.9,2.31481187,111.1208729,0.157391877,0,0,0.498854357,0,0,0,0,0
1643,2.304005427,112.3417794,0.157558243,0,0,0.515309762,0,0,0,0,0
1643.1,2.300345746,113.1984413,0.158353363,0,0,0.527424806,0,0,0,0,0
1643.2,2.297757134,114.1489153,0.160630611,0,0,0.531102491,0,0,0,0,0
1643.3,2.297589164,114.3744502,0.163256157,0,0,0.526108322,0,0,0,0,0
1643.4,2.304102239,113.1113925,0.161815179,0,0,0.521264542,0,0,0,0,0
1643.5,2.311714934,111.4743854,0.159839736,0,0,0.524427762,0,0,0,0,0
1643.6,2.317910323,111.114984,0.157948737,0,0,0.531924625,0,0,0,0,0
1643.7,2.317890605,111.0105549,0.156974625,0,0,0.523122478,0,0,0,0,0
1643.8,2.31466596,111.1756277,0.15854383,0,0,0.511900113,0,0,0,0,0
1643.9,2.308715377,111.7559111,0.162373642,0,0,0.50420689,0,0,0,0,0
1644,2.303336724,112.7715896,0.163411381,0,0,0.506693539,0,0,0,0,0
1644.1,2.301044596,113.6635403,0.163043637,0,0,0.517308755,0,0,0,0,0
1644.2,2.303426936,113.2801407,0.160651903,0,0,0.54344077,0,0,0,0,0
1644.3,2.307101157,112.5855372,0.155913753,0,0,0.58811376,0,0,0,0,0
1644.4,2.311625864,111.968782,0.153630142,0,0,0.618053322,0,0,0,0,0
1644.5,2.315859026,111.3436219,0.155744819,0,0,0.619973798,0,0,0,0,0
1644.6,2.317098877,110.4102942,0.156466502,0,0,0.628782856,0,0,0,0,0
1644.7,2.317930951,109.4760587,0.156913222,0,0,0.621162009,0,0,0,0,0
1644.8,2.319389245,108.7953314,0.156719165,0,0,0.583499237,0,0,0,0,0
1644.9,2.320053948,107.3450071,0.153567209,0,0,0.54842875,0,0,0,0,0
1645,2.326501884,105.6864123,0.148401105,0,0,0.510427542,0,0,0,0,0
1645.1,2.344209741,104.5830965,0.141039712,0,0,0.473807716,0,0,0,0,0
1645.2,2.363526547,103.0812171,0.131114552,0,0,0.461603385,0,0,0,0,0
1645.3,2.386771587,100.9020437,0.119099787,0,0,0.475771135,0,0,0,0,0
1645.4,2.416310914,98.31166436,0.105488315,0,0,0.515402113,0,0,0,0,0
1645.5,2.447389629,95.95958115,0.091769993,0,0,0.554001929,0,0,0,0,0
1645.6,2.483607213,93.8952,0.078016248,0,0,0.578928311,0,0,0,0,0
1645.7,2.52824555,90.73911725,0.063792187,0,0,0.579178513,0,0,0,0,0
1645.8,2.574802237,85.9062679,0.048236081,0,0,0.57534324,0,0,0,0,0
1645.9,2.615338878,80.02230508,0.034950142,0,0,0.560488782,0,0,0,0,0
1646,2.637844383,74.43497382,0.029016339,0,0,0.530913219,0,0,0,0,0
1646.1,2.64416218,72.049264,0.028804278,0,0,0.501466828,0,0,0,0,0
1646.2,2.625520255,73.39491926,0.039293881,0,0,0.466978483,0,0,0,0,0
1646.3,2.583208275,75.02236645,0.060248499,0,0,0.427379745,0,0,0,0,0
1646.4,2.540209592,77.56196785,0.078123632,0,0,0.399513548,0,0,0,0,0
1646.5,2.49945786,80.51853985,0.094156126,0,0,0.376253317,0,0,0,0,0
1646.6,2.462801285,82.87851097,0.111003409,0,0,0.347287896,0,0,0,0,0
1646.7,2.432243926,84.4018375,0.125135999,0,0,0.323045419,0,0,0,0,0
1646.8,2.411770605,85.67094817,0.133560152,0,0,0.310798801,0,0,0,0,0
1646.9,2.401783479,86.80016742,0.134948896,0,0,0.312788085,0,0,0,0,0
1647,2.400392579,86.88180903,0.129299303,0,0,0.325206287,0,0,0,0,0
1647.1,2.410866413,86.21506452,0.117125585,0,0,0.346837686,0,0,0,0,0
1647.2,2.42919271,86.61407532,0.104113203,0,0,0.369501073,0,0,0,0,0
1647.3,2.443544869,88.17614031,0.096080977,0,0,0.383256689,0,0,0,0,0
1647.4,2.449689802,90.33344229,0.093900513,0,0,0.392534674,0,0,0,0,0
1647.5,2.450805874,92.3449029,0.093312148,0,0,0.410193077,0,0,0,0,0
1647.6,2.449660487,94.54024419,0.091689022,0,0,0.441552573,0,0,0,0,0
1647.7,2.44853548,97.14156917,0.088651775,0,0,0.48047641,0,0,0,0,0
1647.8,2.448867952,99.51740901,0.085585924,0,0,0.514624679,0,0,0,0,0
1647.9,2.45027285,101.861579,0.082886663,0,0,0.546745688,0,0,0,0,0
1648,2.451228577,103.9118977,0.081976013,0,0,0.563838276,0,0,0,0,0
1648.1,2.450396576,104.934344,0.083449686,0,0,0.557007502,0,0,0,0,0
1648.2,2.447988349,104.81154,0.086390898,0,0,0.537642696,0,0,0,0,0
1648.3,2.442529356,103.997249,0.091611761,0,0,0.516630069,0,0,0,0,0
1648.4,2.432966663,102.7067433,0.09989241,0,0,0.500177185,0,0,0,0,0
1648.5,2.415874581,101.3200048,0.112110387,0,0,0.496079396,0,0,0,0,0
1648.6,2.393684665,99.882784,0.125368433,0,0,0.5060474,0,0,0,0,0
