DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3714.4,2.510872727,84.13453552,0.115681626,1.696267762,0.876136143,0.731195153,0.153123219,0,0,0.014328603,0.101352985
3714.5,2.502695455,83.21781339,0.11325374,1.468458424,0.871149076,0.734396321,0.152349855,0,0,0.014615576,0.098638188
3714.6,2.502154545,82.64958939,0.103984065,0.803696864,0.898542118,0.748389839,0.147626085,0,0,0.01060281,0.093381246
3714.7,2.507975,82.39902121,0.094403129,0.431718841,0.93284363,0.75742901,0.14816783,0,0,0.006400469,0.088002655
3714.8,2.517073721,81.80366346,0.08433616,0.222058492,0.967724657,0.767903373,0.147760447,0,0,0.002794144,0.081542016
3714.9,2.530998705,81.03022586,0.076647886,0.129714641,0.994933417,0.760259832,0.163092312,0,0,0.000407847,0.076240039
3715,2.548687273,79.63777215,0.073193168,0.101939892,1,0.731110884,0.149903243,0.045792687,0,0,0.073193168
3715.1,2.56191,77.86948934,0.068934424,0.076808346,1,0.734128887,0.125420918,0.071515791,0,0,0.068934424
3715.2,2.565615455,76.33300339,0.064753418,0.05823822,1,0.741689691,0.136952693,0.056604223,0,0,0.064753418
3715.3,2.561941818,74.52419077,0.063696428,0.054282353,1,0.747774963,0.15437152,0.034157103,0,0,0.063696428
3715.4,2.557797273,72.92048801,0.062312421,0.04984906,1,0.743426493,0.175699216,0.018561882,0,0,0.062312421
3715.5,2.555462727,71.65503828,0.059673093,0.041609674,1,0.730095678,0.204824578,0.005406545,0,0,0.059673093
3715.6,2.550958182,70.3843333,0.062402909,0.050344646,1,0.671175397,0.247647641,0.018773966,0,0,0.062402909
3715.7,2.53361,68.99839239,0.071740517,0.0950182,0.981082207,0.574732007,0.305106298,0.048421197,0,0.001391767,0.07034875
3715.8,2.503394793,68.10880903,0.096944627,0.510725774,0.968923774,0.432137153,0.343666411,0.127251716,0,0.003022135,0.093922494
3715.9,2.465981364,68.14458268,0.125126198,3.34804091,0.959547589,0.300685462,0.357703897,0.216484432,0,0.005072602,0.120053588
3716,2.435912273,69.92566534,0.139469609,8.314078946,0.9522677,0.235202795,0.365791422,0.259536123,0,0.006657198,0.132812422
3716.1,2.421115909,73.50011406,0.142596542,10.14045938,0.9522677,0.212606101,0.375169235,0.269628184,0,0.00680646,0.135790069
3716.2,2.418513182,77.87260715,0.13922459,8.086237229,0.9522677,0.208518239,0.400626061,0.251631111,0,0.00664551,0.132579064
3716.3,2.415752273,82.17937402,0.140896263,9.087512742,0.9522677,0.189636817,0.432725608,0.236741312,0,0.006725301,0.134170967
3716.4,2.405355,86.06764576,0.146093827,12.80180307,0.958653761,0.167897113,0.461960743,0.224048238,0,0.006034029,0.140059794
3716.5,2.396544091,89.88674225,0.148125664,14.53693891,0.967887419,0.167265993,0.471804152,0.212804183,0,0.00475604,0.143369593
3716.6,2.403174823,92.46681713,0.140905197,9.305918631,0.977122013,0.176698422,0.477041994,0.205354381,0,0.003232367,0.137672813
3716.7,2.428150841,93.88946719,0.118899516,2.302877601,0.9847704,0.256115468,0.477755067,0.147229868,0,0.001810798,0.117088747
3716.8,2.464286804,95.17615486,0.097115712,0.585827227,0.9847704,0.350367604,0.461789887,0.090726804,0,0.001479037,0.095636696
3716.9,2.498589882,95.97634355,0.081171797,0.175540152,0.9847704,0.390531724,0.459067687,0.069228802,0,0.001236219,0.079935582
3717,2.521381818,96.31736611,0.075399848,0.119163148,0.9847704,0.395290715,0.444330465,0.084979028,0,0.001148312,0.074251535
3717.1,2.53538,96.56408779,0.069039014,0.078532831,0.972389788,0.429704902,0.428865383,0.072390791,0,0.00188832,0.067150692
3717.2,2.544287273,96.60271878,0.065647586,0.061828617,0.961220734,0.485239034,0.41434047,0.034772928,0,0.002544152,0.063103431
3717.3,2.544792727,96.55842875,0.06700283,0.067872262,0.958296292,0.563150396,0.369846707,0,0,0.002806129,0.064196702
3717.4,2.537461818,96.46684573,0.075317919,0.119497649,0.90625601,0.61516008,0.309522004,0,0,0.007091012,0.06822691
3717.5,2.527229887,96.42001444,0.082894751,0.195243324,0.884166885,0.634566554,0.282538694,0,0,0.009597504,0.073297245
3717.6,2.520550122,96.40005707,0.084906399,0.221625074,0.897400371,0.633659364,0.281434205,0,0,0.008722998,0.076183402
3717.7,2.524780174,96.47106485,0.079710754,0.160585385,0.940101517,0.619046795,0.301242447,0,0,0.004857441,0.074853308
3717.8,2.539803636,96.68800035,0.073432841,0.104509282,0.989702517,0.58070894,0.332019916,0.01383831,0,0.000792961,0.072639878
3717.9,2.558859545,97.1312788,0.070330598,0.08431371,1,0.5164251,0.343314465,0.069929811,0,0,0.070330598
3718,2.572031364,97.43228084,0.0693392,0.078903928,1,0.440977437,0.339941772,0.14974159,0,0,0.0693392
3718.1,2.574119091,96.91812632,0.06477001,0.058284282,1,0.417682074,0.328378723,0.189169195,0,0,0.06477001
3718.2,2.566168182,95.42188768,0.062516549,0.051133455,1,0.46123394,0.310744235,0.165505288,0,0,0.062516549
3718.3,2.554804545,93.64000736,0.057607038,0.036273237,1,0.57743933,0.279505131,0.085448462,0,0,0.057607038
3718.4,2.543432114,92.25117588,0.058539807,0.038667602,0.998358921,0.676207329,0.242077992,0.023174786,0,9.75E-05,0.058442263
3718.5,2.534101789,91.41753841,0.062457878,0.050421742,0.994832521,0.72337626,0.214165772,0,0,0.000325623,0.06213225
3718.6,2.527799659,90.7844854,0.070940814,0.08936914,0.992127602,0.707374058,0.221685113,0,0,0.000560874,0.07037994
3718.7,2.526013769,90.07712698,0.074181146,0.108689381,0.986074257,0.688368712,0.237450122,0,0,0.001033179,0.073147966
3718.8,2.532472727,89.02742839,0.071259191,0.0902582,1,0.680186835,0.247316124,0.00123786,0,0,0.071259191
3718.9,2.546886364,87.9858997,0.064205497,0.057172844,1,0.71040387,0.210167274,0.015223356,0,0,0.064205497
3719,2.561163636,87.25823264,0.057122427,0.035597236,1,0.74335511,0.171099706,0.028422729,0,0,0.057122427
3719.1,2.566,87.15922105,0.05487637,0.030313531,1,0.75017339,0.158723806,0.03622644,0,0,0.05487637
3719.2,2.561990909,87.12530935,0.057152449,0.035283629,1,0.714312198,0.17446573,0.05406965,0,0,0.057152449
3719.3,2.555172727,87.22391864,0.06106567,0.045833836,1,0.662989107,0.198213776,0.077731437,0,0,0.06106567
