DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3192.9,2.407999992,73.72980098,0.1455605,24.17592049,1.0,0.09679349,0.757646,0.0,0.0,0.0,0.1455605
3193.0,2.430000067,73.70806963,0.1388524,14.93612003,1.0,0.1047482,0.7563995,0.0,0.0,0.0,0.1388524
3193.1,2.434999943,73.86628337,0.1371251,13.19427967,1.0,0.1076632,0.7395476,0.01566418,0.0,0.0,0.1371251
3193.2,2.431999922,74.2695677,0.1377778,13.82719994,0.9921487,0.1058853,0.7563369,0.0,0.0,0.001082,0.1366961
3193.3,2.437000036,74.83633162,0.1345882,10.9973402,1.0,0.1325886,0.7253937,0.007429536,0.0,0.0,0.1345882
3193.4,2.453000069,75.56482978,0.1355826,11.81112957,1.0,0.1437403,0.6499174,0.07075966,0.0,0.0,0.1355826
3193.5,2.434999943,76.38868112,0.146534,25.92592049,1.0,0.1226656,0.6446214,0.08617903,0.0,0.0,0.146534
3193.6,2.403000116,77.22426231,0.1588643,62.8301506,1.0,0.1135079,0.6827505,0.04487732,0.0,0.0,0.1588643
3193.7,2.365999937,77.99423767,0.1761526,217.3628998,1.0,0.07738297,0.7428976,0.00356677,0.0,0.0,0.1761526
3193.8,2.359999895,78.57256121,0.1769291,229.822403,1.0,0.06292494,0.6826468,0.07749924,0.0,0.0,0.1769291
3193.9,2.354000092,78.96322665,0.1744379,192.1864929,1.0,0.09336767,0.6177911,0.1144034,0.0,0.0,0.1744379
3194.0,2.351000071,79.04342946,0.1768727,228.8946991,1.0,0.1222138,0.5604682,0.1404453,0.0,0.0,0.1768727
3194.1,2.364000082,78.80901027,0.1688321,128.5128937,1.0,0.1619317,0.4979939,0.1712423,0.0,0.0,0.1688321
3194.2,2.361000061,78.35532022,0.1662378,106.6744003,1.0,0.2037464,0.5713831,0.05863271,0.0,0.0,0.1662378
3194.3,2.365999937,77.65159147,0.1683547,124.1827011,1.0,0.1716222,0.6383479,0.02167524,0.0,0.0,0.1683547
3194.4,2.395999908,76.83959287,0.1493202,31.66677094,1.0,0.2145921,0.4964443,0.1396434,0.0,0.0,0.1493202
3194.5,2.431999922,75.99918357,0.1223337,4.562667847,1.0,0.3009187,0.3720644,0.2046832,0.0,0.0,0.1223337
3194.6,2.536999941,75.25458422,0.06608044,0.080417998,1.0,0.5433115,0.2425707,0.1480374,0.0,0.0,0.06608044
3194.7,2.631000042,74.67958293,0.03909092,0.011584,1.0,0.705658,0.255251,0.0,0.0,0.0,0.03909092
3194.8,2.667999983,74.26274982,0.0329171,0.007437,1.0,0.7239781,0.2431048,0.0,0.0,0.0,0.0329171
3194.9,2.665999889,74.13672272,0.03342783,0.007715,1.0,0.7465556,0.2200166,0.0,0.0,0.0,0.03342783
3195.0,2.644000053,74.20115754,0.03359898,0.00781,1.0,0.7596126,0.2067884,0.0,0.0,0.0,0.03359898
3195.1,2.644999981,74.40075492,0.03103551,0.006497,1.0,0.7800623,0.1889022,0.0,0.0,0.0,0.03103551
3195.2,2.640000105,74.74149991,0.02953671,0.005834,1.0,0.7801129,0.1903504,0.0,0.0,0.0,0.02953671
3195.3,2.651000023,75.12165323,0.03034651,0.006184,1.0,0.7799898,0.1896636,0.0,0.0,0.0,0.03034651
3195.4,2.638000011,75.51119925,0.03161455,0.006773,1.0,0.8202426,0.1481429,0.0,0.0,0.0,0.03161455
3195.5,2.632999897,75.86256669,0.03274439,0.007345,1.0,0.8461592,0.1210964,0.0,0.0,0.0,0.03274439
3195.6,2.638999939,76.17793749,0.02963774,0.005877,1.0,0.8408207,0.1295416,0.0,0.0,0.0,0.02963774
3195.7,2.648999929,76.45673133,0.0258832,0.004488,1.0,0.8692492,0.1048675,0.0,0.0,0.0,0.0258832
3195.8,2.648999929,76.69359567,0.02672276,0.004767,1.0,0.878596,0.09468125,0.0,0.0,0.0,0.02672276
3195.9,2.651000023,76.91162336,0.02371451,0.003841,1.0,0.9145761,0.06170939,0.0,0.0,0.0,0.02371451
3196.0,2.654000044,77.11704381,0.02143542,0.003261,1.0,0.9491823,0.02938224,0.0,0.0,0.0,0.02143542
3196.1,2.673000097,77.3163485,0.01827971,0.0026,1.0,0.9698762,0.01184409,0.0,0.0,0.0,0.01827971
3196.2,2.680000067,77.51434149,0.02102083,0.003166,1.0,0.9372724,0.04170671,0.0,0.0,0.0,0.02102083
3196.3,2.654000044,77.71222859,0.0241156,0.003953,1.0,0.9556246,0.02025978,0.0,0.0,0.0,0.0241156
3196.4,2.638000011,77.92668082,0.02927334,0.005725,1.0,0.9150818,0.05564488,0.0,0.0,0.0,0.02927334
3196.5,2.640000105,78.17805404,0.02850223,0.005417,1.0,0.9367505,0.03474725,0.0,0.0,0.0,0.02850223
3196.6,2.647000074,78.50793468,0.02678922,0.00479,1.0,0.9439638,0.02924702,0.0,0.0,0.0,0.02678922
3196.7,2.641000032,79.05143104,0.03031854,0.006171,1.0,0.8862981,0.08338337,0.0,0.0,0.0,0.03031854
3196.8,2.634000063,79.81858498,0.03270822,0.007326,1.0,0.8765836,0.09070817,0.0,0.0,0.0,0.03270822
3196.9,2.640000105,80.98475741,0.03091972,0.006443,1.0,0.8907135,0.07836681,0.0,0.0,0.0,0.03091972
3197.0,2.630000114,82.72132379,0.03848984,0.011095,1.0,0.9083564,0.05315377,0.0,0.0,0.0,0.03848984
3197.1,2.630000114,84.90674791,0.03440339,0.008274,1.0,0.9205597,0.04503692,0.0,0.0,0.0,0.03440339
3197.2,2.611000061,87.75409823,0.03762591,0.010428,1.0,0.9361302,0.02624387,0.0,0.0,0.0,0.03762591
3197.3,2.604000092,91.08221571,0.04312073,0.015471,1.0,0.9363778,0.02050148,0.0,0.0,0.0,0.04312073
3197.4,2.546000004,94.65818447,0.07655524,0.170583993,1.0,0.8796041,0.04384067,0.0,0.0,0.0,0.07655524
3197.5,2.506000042,98.2731411,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3197.6,2.414000034,101.483764,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3197.7,2.247999907,104.2384251,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3197.8,2.022000074,105.8555471,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3197.9,1.963999987,106.4717948,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.0,1.965999961,106.3024406,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.1,1.761000037,105.0165777,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.2,1.717000008,103.2376875,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.3,1.986999989,101.1530898,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3198.4,2.390000105,98.9355086,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0
